day	stream	len	count
20220901	xinqing	8	1950734
20220901	xinqing	9	11189743
20220902	orders	8	24906732
20220902	orders	9	56669416
20220902	trades	8	18434144
20220902	trades	9	48518713
20220902	xinqing	8	1933617
20220902	xinqing	9	10997177
20220905	orders	8	26251058
20220905	orders	9	57062533
20220905	trades	8	19624831
20220905	trades	9	49042073
20220905	xinqing	8	1950125
20220905	xinqing	9	10943212
20220906	orders	8	25782053
20220906	orders	9	61834587
20220906	trades	8	18817070
20220906	trades	9	53718738
20220906	xinqing	8	1939707
20220906	xinqing	9	11154757
20220907	orders	8	26784627
20220907	orders	9	60422595
20220907	trades	8	19911938
20220907	trades	9	52714750
20220907	xinqing	8	1945158
20220907	xinqing	9	11009210
20220908	orders	8	26777799
20220908	orders	9	56850837
20220908	trades	8	19595514
20220908	trades	9	49395267
20220908	xinqing	8	1938401
20220908	xinqing	9	10862573
20220909	orders	8	26383223
20220909	orders	9	55183953
20220909	trades	8	19803567
20220909	trades	9	47223526
20220909	xinqing	8	1941996
20220909	xinqing	9	10795681
20220913	orders	8	25667047
20220913	orders	9	54877282
20220913	trades	8	19202579
20220913	trades	9	47677906
20220913	xinqing	8	1960604
20220913	xinqing	9	10814068
20220914	orders	8	25882326
20220914	orders	9	54112909
20220914	trades	8	19175225
20220914	trades	9	46305258
20220914	xinqing	8	1984153
20220914	xinqing	9	10842233
20220915	orders	8	26254103
